overall_rank,pos_rank,name,position,team,tier,value_tier,ppg,season_value,vorp,ecr,composite_adp,room_adp,gap,gap_z,p_avail_next,vona,flags,depth_rank,e_games
39,17,Ladd McConkey,WR,LAC,3,8,11.50,183.7,59.4,33.83,40.1,35.0,-2.0,-0.465,1.0,-43.73,new_play_caller,1,14.2
40,18,DeVonta Smith,WR,PHI,2,8,11.34,181.5,57.2,22.72,31.1,30.0,-8.0,-2.424,1.0,-45.93,injury_prone|new_play_caller|positional_reach,1,14.2
41,20,Quinshon Judkins,RB,CLE,6,14,11.06,172.9,52.7,60.62,51.23,45.0,6.0,1.111,1.0,-61.03,new_play_caller|sleeper,1,13.2
42,19,Jaylen Waddle,WR,DEN,3,9,10.98,176.4,52.1,33.99,43.1,39.0,-1.0,-0.2,1.0,-51.05,new_play_caller|qb_uncertain_team,1,14.2
43,21,Cam Skattebo,RB,NYG,5,14,10.77,170.9,50.7,57.0,39.3,,,,1.0,-63.03,new_play_caller,1,12.02
44,20,Brian Thomas Jr.,WR,JAX,6,9,11.01,174.9,50.6,81.16,76.7,68.0,27.0,4.03,1.0,-52.53,sleeper,1,13.7
45,21,Rome Odunze,WR,CHI,4,9,10.94,174.0,49.7,58.87,59.6,52.0,10.0,1.538,1.0,-53.39,value,1,13.7
46,22,Tetairoa McMillan,WR,CAR,3,9,10.68,172.2,47.9,35.88,36.5,34.0,-9.0,-2.308,1.0,-55.24,new_play_caller,1,14.2
47,23,Garrett Wilson,WR,NYJ,3,9,10.54,170.2,45.9,30.28,40.93,36.0,-8.0,-2.667,1.0,-57.27,new_play_caller,1,14.04
48,22,Travis Etienne,RB,NO,4,15,10.37,165.4,45.2,45.04,39.67,,,,1.0,-68.51,"",1,13.7
49,24,Jameson Williams,WR,DET,4,9,10.59,169.2,44.9,52.92,53.83,49.0,4.0,1.0,1.0,-58.23,new_play_caller,2,13.7
50,25,Mike Evans,WR,SF,4,9,10.51,168.1,43.8,59.7,62.5,55.0,9.0,1.579,1.0,-59.31,injury_prone|sleeper,1,13.49
51,23,Jaylen Warren,RB,PIT,7,15,10.37,163.8,43.6,74.43,68.83,59.0,12.0,2.069,1.0,-70.12,new_play_caller|value,1,13.2
52,2,Joe Burrow,QB,CIN,1,2,21.82,365.3,43.1,44.89,52.67,47.0,-1.0,-0.147,1.0,-24.09,injury_prone,1,14.02
53,26,DK Metcalf,WR,PIT,6,10,10.21,164.0,39.7,79.37,75.7,67.0,18.0,2.535,1.0,-63.41,new_play_caller|value,1,13.7
54,27,Davante Adams,WR,LA,4,10,10.06,163.3,39.0,50.83,50.1,42.0,-8.0,-2.222,1.0,-64.13,injury_prone|bust,2,14.2
55,28,Christian Watson,WR,GB,4,10,10.16,163.3,39.0,55.73,62.17,53.0,2.0,0.357,1.0,-64.15,injury_prone,1,12.91
56,3,Colston Loveland,TE,CHI,1,2,10.02,163.3,38.8,36.28,47.0,,,,1.0,-25.45,"",1,14.4
57,3,Dak Prescott,QB,DAL,3,2,21.61,360.7,38.6,77.92,75.0,65.0,13.0,2.0,1.0,-28.64,value,1,14.35
58,29,Parker Washington,WR,JAX,4,11,9.98,160.8,36.5,58.52,70.07,60.0,7.0,1.0,1.0,-66.61,injury_prone|sleeper,2,12.91
59,30,Terry McLaurin,WR,WAS,4,11,9.85,160.4,36.1,47.68,51.27,46.0,-8.0,-1.702,1.0,-67.04,new_play_caller,1,14.2
60,24,Jadarian Price,RB,SEA,7,16,9.68,154.6,34.5,67.49,62.17,54.0,-1.0,-0.095,1.0,-79.26,rookie|new_play_caller,1,13.2
61,31,Luther Burden III,WR,CHI,4,11,9.81,158.5,34.2,46.7,57.13,,,,1.0,-68.97,"",2,13.7
62,25,Rhamondre Stevenson,RB,NE,7,16,9.64,154.1,34.0,74.02,70.23,61.0,5.0,1.0,1.0,-79.76,"",1,13.2
63,4,Tyler Warren,TE,IND,2,3,9.74,157.8,33.3,53.36,55.53,,,,1.0,-30.92,qb_uncertain_team,1,13.8
64,26,Bhayshul Tuten,RB,JAX,7,16,9.47,151.9,31.7,65.97,57.47,51.0,-6.0,-0.984,1.0,-82.03,"",1,13.2
65,27,J.K. Dobbins,RB,DEN,9,16,9.42,151.3,31.1,102.38,86.6,78.0,20.0,2.326,1.0,-82.63,injury_prone|new_play_caller|qb_uncertain_team,1,11.67
66,32,Marvin Harrison Jr.,WR,ARI,5,12,9.56,155.1,30.8,69.24,72.3,62.0,3.0,0.417,1.0,-72.3,new_play_caller,1,13.7
67,5,Sam LaPorta,TE,DET,2,4,9.56,155.3,30.8,86.19,78.73,70.0,10.0,0.49,0.9984,-33.43,new_play_caller,1,13.8
68,4,Lamar Jackson,QB,BAL,1,3,20.95,352.2,30.1,31.84,42.93,38.0,-23.0,-2.987,0.9999,-37.15,new_play_caller,1,15.0
69,5,Drake Maye,QB,NE,1,3,20.94,352.0,29.9,37.1,50.53,43.0,-19.0,-2.468,1.0,-37.3,"",1,15.0
70,6,Brock Purdy,QB,SF,4,3,20.99,351.7,29.5,96.42,104.0,95.0,32.0,2.424,1.0,-37.69,injury_prone|value,1,14.16
71,28,Chuba Hubbard,RB,CAR,9,17,9.19,148.2,28.0,99.84,86.1,77.0,13.0,1.262,1.0,-85.72,new_play_caller|sleeper,1,13.2
72,29,TreVeyon Henderson,RB,NE,7,17,9.15,147.6,27.4,70.95,63.03,56.0,-9.0,-1.525,1.0,-86.26,"",2,13.2
73,33,Alec Pierce,WR,IND,7,13,9.23,150.5,26.2,100.28,83.87,74.0,8.0,1.176,1.0,-76.92,qb_uncertain_team,1,13.7
74,34,Jayden Reed,WR,GB,7,13,9.22,150.5,26.2,103.17,101.33,88.0,21.0,2.763,1.0,-76.94,injury_prone,2,13.4
75,35,DJ Moore,WR,BUF,4,13,9.16,149.6,25.3,52.35,52.93,48.0,-20.0,-3.279,1.0,-77.85,"",1,13.7
76,36,Courtland Sutton,WR,DEN,6,13,9.01,147.6,23.3,86.25,83.3,73.0,4.0,0.645,1.0,-79.82,new_play_caller|qb_uncertain_team,2,13.7
77,30,Tony Pollard,RB,TEN,8,18,8.80,143.0,22.8,84.99,77.4,69.0,-1.0,-0.208,1.0,-90.91,new_play_caller,1,13.2
78,31,Kyle Monangai,RB,CHI,11,18,8.79,142.9,22.7,120.02,105.0,98.0,27.0,2.389,1.0,-91.02,"",2,13.2
79,7,Trevor Lawrence,QB,JAX,3,4,20.39,343.1,21.0,76.37,91.53,82.0,10.0,0.676,1.0,-46.26,"",1,14.45
80,37,Chris Godwin Jr.,WR,TB,5,14,8.78,144.4,20.1,74.37,87.87,80.0,7.0,0.854,1.0,-83.04,injury_prone|new_play_caller,2,12.91
81,8,Jalen Hurts,QB,PHI,2,4,20.32,342.0,19.9,57.19,66.27,57.0,-17.0,-1.339,0.9999,-47.35,new_play_caller|positional_reach,1,14.5
82,38,Jakobi Meyers,WR,JAX,8,14,8.75,144.0,19.7,107.87,117.63,115.0,40.0,4.819,1.0,-83.42,sleeper,3,13.7
83,6,Harold Fannin Jr.,TE,CLE,2,5,8.72,143.8,19.3,76.23,74.4,64.0,-12.0,-1.875,1.0,-44.98,new_play_caller|positional_reach,1,13.8
84,39,Carnell Tate,WR,TEN,5,14,8.72,143.5,19.3,68.19,75.27,66.0,-11.0,-1.594,1.0,-83.88,rookie|new_play_caller,1,13.7
85,40,Jordan Addison,WR,MIN,8,14,8.68,143.1,18.8,107.99,102.5,93.0,15.0,1.648,1.0,-84.37,"",2,13.7
86,9,Patrick Mahomes,QB,KC,4,4,20.23,340.6,18.5,103.11,108.63,103.0,24.0,1.805,1.0,-48.7,qb_uncertain_team|value,1,14.5
87,10,Matthew Stafford,QB,LA,4,4,20.21,340.4,18.3,105.93,93.83,83.0,3.0,0.291,1.0,-48.9,"",1,14.5
88,7,George Kittle,TE,SF,3,5,8.64,142.7,18.1,97.7,85.53,76.0,-5.0,-0.391,1.0,-46.1,injury_prone,1,13.8
89,11,Justin Herbert,QB,LAC,3,4,20.13,339.3,17.2,71.81,84.57,75.0,-7.0,-0.479,1.0,-50.05,new_play_caller,1,14.5
90,12,Bo Nix,QB,DEN,4,4,20.12,339.1,17.0,98.53,110.2,105.0,22.0,1.429,1.0,-50.28,new_play_caller|qb_uncertain_team|sleeper,1,14.5
91,41,Quentin Johnston,WR,LAC,7,14,8.54,141.1,16.9,93.76,98.83,85.0,1.0,0.118,1.0,-86.29,new_play_caller,2,13.7
92,8,Travis Kelce,TE,KC,3,5,8.55,141.4,16.9,98.18,107.53,101.0,16.0,0.947,1.0,-47.4,qb_uncertain_team,1,13.8
93,32,MarShawn Lloyd,RB,GB,10,19,8.35,137.0,16.8,106.21,101.97,89.0,3.0,0.12,0.9992,-96.88,injury_prone,1,13.2
94,42,Josh Downs,WR,IND,6,14,8.50,140.6,16.3,88.0,104.97,97.0,10.0,0.917,1.0,-86.79,qb_uncertain_team,2,13.7
95,13,Jared Goff,QB,DET,4,4,20.06,338.2,16.1,105.55,119.37,118.0,30.0,2.521,1.0,-51.13,new_play_caller,1,14.5
96,14,Caleb Williams,QB,CHI,2,4,20.03,337.9,15.7,65.14,76.53,,,,1.0,-51.48,"",1,14.5
97,43,Michael Wilson,WR,ARI,6,14,8.44,139.8,15.5,88.1,87.7,79.0,-10.0,-1.471,1.0,-87.62,new_play_caller,2,13.7
98,44,Michael Pittman,WR,PIT,6,14,8.30,137.8,13.5,81.63,102.2,92.0,2.0,0.244,1.0,-89.6,new_play_caller,2,13.7
99,9,Kyle Pitts,TE,ATL,2,6,8.29,137.8,13.3,78.83,79.47,71.0,-20.0,-1.242,0.9999,-50.93,new_play_caller|qb_uncertain_team,1,13.8
100,33,Rico Dowdle,RB,PIT,8,20,8.04,132.9,12.8,87.26,81.5,72.0,-20.0,-2.273,1.0,-100.96,new_play_caller,2,13.2
101,45,Xavier Worthy,WR,KC,10,14,8.15,135.8,11.5,129.83,118.63,117.0,24.0,2.424,1.0,-91.64,qb_uncertain_team|sleeper,2,13.7
102,34,Jordan Mason,RB,MIN,10,20,7.90,131.1,11.0,113.61,105.4,99.0,5.0,0.331,1.0,-102.75,injury_prone,2,12.95
103,35,Jonathon Brooks,RB,CAR,8,20,7.87,130.8,10.6,88.71,89.43,81.0,-14.0,-1.346,1.0,-103.11,new_play_caller,2,13.2
104,10,Tucker Kraft,TE,GB,2,7,8.07,134.9,10.4,78.75,73.23,63.0,-33.0,-1.875,0.9987,-53.9,injury_prone|structural_injury_return|bust,1,13.17
105,11,Jake Ferguson,TE,DAL,4,7,8.06,134.7,10.2,119.93,126.87,124.0,27.0,1.311,1.0,-54.05,sleeper,1,13.8
106,46,Khalil Shakir,WR,BUF,9,14,8.03,134.2,9.9,122.63,130.1,127.0,29.0,3.537,1.0,-93.25,"",2,13.7
107,36,Jacory Croskey-Merritt,RB,WAS,10,20,7.80,129.8,9.6,114.54,102.13,91.0,-8.0,-0.65,1.0,-104.11,new_play_caller,1,13.2
108,12,Mark Andrews,TE,BAL,4,7,7.97,133.4,8.9,133.61,124.17,121.0,21.0,1.265,1.0,-55.39,new_play_caller|sleeper,1,13.8
109,15,Jayden Daniels,QB,WAS,2,5,19.52,330.4,8.2,56.6,66.57,58.0,-43.0,-3.675,1.0,-58.99,injury_prone|new_play_caller|bust,1,13.76
110,13,Brenton Strange,TE,JAX,5,7,7.91,132.6,8.0,160.94,151.73,166.0,64.0,2.689,1.0,-56.2,injury_prone|sleeper,1,12.78
111,47,Deebo Samuel Sr.,WR,SF,11,14,7.88,132.1,7.8,140.72,123.47,120.0,17.0,2.237,1.0,-95.33,sleeper,2,13.7
112,37,Aaron Jones,RB,MIN,10,20,7.65,127.8,7.6,117.76,115.8,109.0,5.0,0.365,1.0,-106.09,injury_prone,1,13.2
113,38,Chris Rodriguez Jr.,RB,JAX,11,20,7.62,127.4,7.2,141.1,137.67,137.0,32.0,1.951,1.0,-106.49,injury_prone|sleeper,2,12.27
114,39,RJ Harvey,RB,DEN,9,20,7.55,126.6,6.4,94.71,100.1,87.0,-19.0,-1.52,1.0,-107.33,new_play_caller|qb_uncertain_team|bust,2,13.2
115,48,Romeo Doubs,WR,NE,9,14,7.75,130.3,6.0,126.88,120.63,119.0,12.0,1.008,1.0,-97.15,sleeper,2,13.7
